-22.42919608004424,-46.82284237331359
-22.429771277500993,-46.82248832172224
-22.43051506379314,-46.82288528865685
-22.431565744061363,-46.82340613671541
-22.432619191867598,-46.823941442613986
-22.43407697932438,-46.82462272370905
-22.435109532259364,-46.82365533765667
-22.43615575023713,-46.82249125893454
-22.436537543473516,-46.82231423314293
-22.437420126397335,-46.82142910417249
-22.438044872714364,-46.822185487113714
-22.43879357292847,-46.82308670934316
-22.438525826296882,-46.823548049291304
-22.438525826296882,-46.823548049291304
-22.437529209301708,-46.82458338197567
-22.436651585404007,-46.82543096002553
-22.434876487367767,-46.82497498449005
-22.43362696338807,-46.82439026292296
-22.432531141415005,-46.82385918553794
-22.43154935693155,-46.823392481167154
-22.43111300605147,-46.824030846918006
-22.43054277271997,-46.82421323713253
-22.429888241113176,-46.823778719273925
-22.429075030909644,-46.8233442014099
